"player","class","pos","team","x3_p_s","slasher","ball_dominant","playmaker","limit_to","perim_defender","rim_protector","oreb","dreb"
"Javonte Green","NBA","F","BOSCHI",0.238636363636364,0.801136363636364,0.107954545454545,0.380681818181818,0.607954545454545,0.920454545454545,0.818181818181818,0.75,0.267045454545455
"Jabari Smith Jr.","NBA","F","HOU",0.454545454545455,0.4375,0.659090909090909,0.0568181818181818,0.215909090909091,0.0340909090909091,0.357954545454545,0.619318181818182,0.840909090909091
"Paolo Banchero","NBA","F","ORL",0.204545454545455,0.914772727272727,0.954545454545455,0.761363636363636,0.130681818181818,0.244318181818182,0.255681818181818,0.346590909090909,0.806818181818182
"James Johnson","NBA","F","BRKDALINDNOP",0.193181818181818,0.5625,0.369318181818182,0.875,0.897727272727273,0.818181818181818,0.897727272727273,0.375,0.431818181818182
"Josh Jackson","NBA","F-G","DETSAC",0.357954545454545,0.607954545454545,0.903409090909091,0.613636363636364,0.0113636363636364,0.375,0.443181818181818,0.267045454545455,0.426136363636364
"Keegan Murray","NBA","F","SAC",0.960227272727273,0.113636363636364,0.397727272727273,0.136363636363636,0.681818181818182,0.181818181818182,0.176136363636364,0.426136363636364,0.295454545454545
"Jalen Smith","NBA","F","INDPHO",0.295454545454545,0.596590909090909,0.818181818181818,0.0284090909090909,0.0568181818181818,0.0284090909090909,0.448863636363636,0.926136363636364,0.943181818181818
"Otto Porter Jr.","NBA","F","CHIGSWORLTOR",0.715909090909091,0.278409090909091,0.414772727272727,0.710227272727273,0.920454545454545,0.948863636363636,0.744318181818182,0.732954545454545,0.869318181818182
"Yuta Watanabe","NBA","F","BRKTOR",0.818181818181818,0.272727272727273,0.232954545454545,0.511363636363636,0.75,0.573863636363636,0.619318181818182,0.448863636363636,0.590909090909091
"Justise Winslow","NBA","F","LACMEMPOR",0.125,0.676136363636364,0.602272727272727,0.897727272727273,0.625,0.795454545454545,0.715909090909091,0.732954545454545,0.727272727272727
"Andre Iguodala","NBA","F-G","GSWMIA",0.727272727272727,0.119318181818182,0.0397727272727273,0.965909090909091,0.971590909090909,0.977272727272727,0.926136363636364,0.267045454545455,0.414772727272727
"Trendon Watford","NBA","F","POR",0.136363636363636,0.892045454545455,0.494318181818182,0.903409090909091,0.676136363636364,0.363636363636364,0.403409090909091,0.607954545454545,0.767045454545455
"Santi Aldama","NBA","F","MEM",0.471590909090909,0.431818181818182,0.477272727272727,0.392045454545455,0.5625,0.630681818181818,0.727272727272727,0.715909090909091,0.664772727272727
"DeAndre' Bembry","NBA","F","BRKMILTOR",0.147727272727273,0.795454545454545,0.153409090909091,0.863636363636364,0.596590909090909,0.971590909090909,0.806818181818182,0.392045454545455,0.221590909090909
"Juancho Hernangómez","NBA","F","BOSMINSASTORUTA",0.653409090909091,0.318181818181818,0.238636363636364,0.25,0.528409090909091,0.244318181818182,0.1875,0.619318181818182,0.778409090909091
"Ziaire Williams","NBA","F","MEM",0.607954545454545,0.181818181818182,0.397727272727273,0.318181818181818,0.403409090909091,0.289772727272727,0.170454545454545,0.0852272727272727,0.0170454545454545
"Jeremiah Robinson-Earl","NBA","F","OKC",0.642045454545455,0.301136363636364,0.329545454545455,0.363636363636364,0.630681818181818,0.323863636363636,0.301136363636364,0.829545454545455,0.625
"Markieff Morris","NBA","F","BRKDALLALMIA",0.721590909090909,0.193181818181818,0.528409090909091,0.607954545454545,0.375,0.5,0.431818181818182,0.528409090909091,0.710227272727273
