"player","class","pos","team","x3_p_s","slasher","ball_dominant","playmaker","perim_defender","oreb","dreb","Dim.1","Dim.2","Dim.3","Dim.4"
"Norman Powell","NBA","G","LACPORTOR",0.53639846743295,0.777777777777778,0.823754789272031,0.0421455938697318,0.348659003831418,0.268199233716475,0.233716475095785,-0.528555514543297,-1.3375085449773,-1.20225867206601,-0.479455237828706
"Kyrie Irving","NBA","G","BRKDAL",0.521072796934866,0.655172413793103,0.957854406130268,0.739463601532567,0.444444444444444,0.636015325670498,0.574712643678161,0.990703842146924,-1.0499784015832,-0.166565831543335,0.885217516019106
"LaMelo Ball","NBA","G","CHO",0.689655172413793,0.517241379310345,0.938697318007663,0.950191570881226,0.789272030651341,0.862068965517241,0.942528735632184,1.58952242030367,0.224095801363908,0.623885315577024,2.24496683783504
"Devonte' Graham","NBA","G","CHONOPSAS",0.919540229885057,0.130268199233716,0.586206896551724,0.766283524904215,0.348659003831418,0.153256704980843,0.0766283524904215,-2.02061608846701,-1.19818699086529,1.41121761921623,-0.0170792801689186
"Monte Morris","NBA","G","DENWAS",0.402298850574713,0.524904214559387,0.340996168582375,0.804597701149425,0.390804597701149,0.103448275862069,0.272030651340996,-0.238228291428426,-1.00268507661363,1.13763616579069,-0.804603209130772
"Franz Wagner","NBA","G-F","ORL",0.191570881226054,0.81992337164751,0.743295019157088,0.475095785440613,0.459770114942529,0.735632183908046,0.524904214559387,1.55704696315909,-0.458673563048224,-0.976444514238669,-0.241022081713536
"Grayson Allen","NBA","G","MEMMIL",0.873563218390805,0.149425287356322,0.24904214559387,0.310344827586207,0.685823754789272,0.509578544061303,0.333333333333333,-1.66767869022905,1.22762880112039,0.574461507865164,-0.108097235671811
"Will Barton","NBA","G","DENTORWAS",0.582375478927203,0.440613026819923,0.597701149425287,0.498084291187739,0.329501915708812,0.42911877394636,0.747126436781609,-0.205657852930833,-0.233697337493886,-0.401164327287508,0.949034940420021
"Duncan Robinson","NBA","G-F","MIA",0.992337164750958,0.0153256704980843,0.383141762452107,0.176245210727969,0.306513409961686,0.0229885057471264,0.425287356321839,-3.04990555576315,-0.0652834540276552,0.17559917051165,0.575224785092175
"Seth Curry","NBA","G","BRKPHI",0.781609195402299,0.306513409961686,0.46360153256705,0.471264367816092,0.35632183908046,0.0268199233716475,0.10727969348659,-1.9540344556158,-1.02596737229123,0.798030274476437,-0.50803639873303
"Anfernee Simons","NBA","G","POR",0.865900383141762,0.24904214559387,0.800766283524904,0.528735632183908,0.00766283524904215,0.0804597701149425,0.130268199233716,-2.22190617364257,-2.12834581867359,0.0521900037131603,0.161258559548927
"Josh Richardson","NBA","G","BOSDALNOPSAS",0.544061302681992,0.452107279693487,0.455938697318008,0.398467432950192,0.689655172413793,0.685823754789272,0.206896551724138,-0.176485669213972,0.548857783481944,0.152349147484589,-0.772937409361667
"Cole Anthony","NBA","G","ORL",0.337164750957854,0.754789272030651,0.81992337164751,0.812260536398467,0.379310344827586,0.578544061302682,0.9272030651341,1.72878522987216,-0.795080145130568,-0.366960841914029,1.31588850398407
"Malcolm Brogdon","NBA","G","BOSIND",0.467432950191571,0.685823754789272,0.842911877394636,0.762452107279693,0.467432950191571,0.685823754789272,0.804597701149425,1.40109770760387,-0.523139316041592,-0.266921390351558,1.22348461394492
"De'Anthony Melton","NBA","G","MEMPHI",0.81992337164751,0.241379310344828,0.498084291187739,0.490421455938697,0.977011494252874,0.789272030651341,0.835249042145594,0.0311595036128127,1.86518424293099,0.618675026312678,1.53592221743182
"Miles Bridges","NBA","G-F","CHO",0.360153256704981,0.659003831417625,0.636015325670498,0.409961685823755,0.517241379310345,0.808429118773946,0.954022988505747,1.33688038683752,0.636781014229045,-1.13612778997255,1.03316585718318
"Spencer Dinwiddie","NBA","G","BRKDALWAS",0.46360153256705,0.708812260536398,0.701149425287356,0.85823754789272,0.344827586206897,0.210727969348659,0.524904214559387,0.576364168018043,-1.57262279792672,0.573576110102048,0.357060826164672
