"player","class","pos","team","x3_p_s","slasher","ball_dominant","playmaker","perim_defender","rim_protector","oreb","dreb","Dim.1","Dim.2","Dim.3","Dim.4"
"LeBron James","NBA","F-G","LAL",0.448863636363636,0.664772727272727,0.994318181818182,0.994318181818182,0.806818181818182,0.732954545454545,0.1875,0.892045454545455,1.40579076597711,0.664931385079578,2.86185387078713,0.535533312894221
"Brandon Ingram","NBA","F","NOP",0.352272727272727,0.840909090909091,0.965909090909091,0.948863636363636,0.215909090909091,0.232954545454545,0.0454545454545455,0.5,-0.316438044027196,-1.07387853041739,2.71376496246604,-1.25486649302697
"Kyle Anderson","NBA","F-G","MEMMIN",0.329545454545455,0.738636363636364,0.460227272727273,0.943181818181818,0.954545454545455,0.914772727272727,0.329545454545455,0.784090909090909,2.22426151668066,1.53017848067047,1.23851966353963,-0.138786187546669
"P.J. Tucker","NBA","F","HOUMIAMILPHI",0.744318181818182,0.210227272727273,0.0113636363636364,0.727272727272727,0.721590909090909,0.545454545454545,0.619318181818182,0.323863636363636,-0.328936218767306,1.99227565736017,-1.12470314223585,-0.26201994228887
"Kelly Oubre Jr.","NBA","F","CHOGSW",0.6875,0.409090909090909,0.897727272727273,0.00568181818181818,0.284090909090909,0.193181818181818,0.5,0.295454545454545,-1.76412560736766,-1.58929761279542,-0.0250274785751596,0.619841476046442
"Bobby Portis","NBA","F","MIL",0.573863636363636,0.465909090909091,0.857954545454545,0.0681818181818182,0.244318181818182,0.284090909090909,0.886363636363636,0.977272727272727,-0.00049125017145425,-2.21235893997964,-0.274770320544151,2.07523655649593
"Khris Middleton","NBA","F-G","MIL",0.613636363636364,0.534090909090909,0.9375,0.971590909090909,0.454545454545455,0.227272727272727,0.125,0.454545454545455,-0.848678469147615,0.00902352477623926,2.48743111721912,-0.577019086387814
"Christian Wood","NBA","F","DALHOU",0.477272727272727,0.767045454545455,0.920454545454545,0.284090909090909,0.352272727272727,0.636363636363636,0.6875,0.988636363636364,1.13579877771692,-1.67325023527894,0.66092209928195,1.57328200623032
"Dillon Brooks","NBA","F-G","MEM",0.556818181818182,0.454545454545455,0.914772727272727,0.460227272727273,0.301136363636364,0.130681818181818,0.125,0.00568181818181818,-2.11423972852161,-0.803735470773432,1.25491475312319,-1.06415955664586
"Grant Williams","NBA","F","BOS",0.795454545454545,0.255681818181818,0.142045454545455,0.5625,0.727272727272727,0.738636363636364,0.448863636363636,0.255681818181818,-0.482161089070941,2.02094323008082,-0.856282427477029,-0.016151198862044
