"player","class","pos","team","x3_p_s","slasher","ball_dominant","playmaker","perim_defender","oreb","dreb"
"Tyus Jones","NBA","G","MEM",0.432950191570881,0.494252873563218,0.375478927203065,0.923371647509579,0.85823754789272,0.114942528735632,0.314176245210728
"Pat Connaughton","NBA","G","MIL",0.896551724137931,0.0459770114942529,0.10727969348659,0.149425287356322,0.743295019157088,0.781609195402299,0.900383141762452
"Alec Burks","NBA","G","DETNYK",0.743295019157088,0.64367816091954,0.613026819923372,0.459770114942529,0.808429118773946,0.360153256704981,0.919540229885057
"Bogdan Bogdanović","NBA","G","ATL",0.869731800766284,0.176245210727969,0.651340996168582,0.448275862068966,0.590038314176245,0.210727969348659,0.582375478927203
"Patty Mills","NBA","G","BRKSAS",0.946360153256705,0.0651340996168582,0.402298850574713,0.379310344827586,0.111111111111111,0.0268199233716475,0.00766283524904215
"Killian Hayes","NBA","G","DET",0.14176245210728,0.574712643678161,0.486590038314176,0.904214559386973,0.731800766283525,0.153256704980843,0.440613026819923
"Luke Kennard","NBA","G","LACMEM",0.950191570881226,0.103448275862069,0.306513409961686,0.337164750957854,0.452107279693487,0.0613026819923372,0.590038314176245
"Lonnie Walker IV","NBA","G","LALSAS",0.528735632183908,0.455938697318008,0.681992337164751,0.10727969348659,0.187739463601533,0.0421455938697318,0.233716475095785
"Eric Gordon","NBA","G-F","HOULAC",0.655172413793103,0.478927203065134,0.574712643678161,0.425287356321839,0.0459770114942529,0.0268199233716475,0.0114942528735632
"Delon Wright","NBA","G","ATLDETSACWAS",0.264367816091954,0.681992337164751,0.114942528735632,0.800766283524904,0.992337164750958,0.865900383141762,0.659003831417625
"Max Strus","NBA","G","MIA",0.942528735632184,0.0421455938697318,0.421455938697318,0.222222222222222,0.268199233716475,0.360153256704981,0.501915708812261
"Torrey Craig","NBA","G-F","INDMILPHO",0.547892720306513,0.260536398467433,0.14176245210728,0.21455938697318,0.720306513409962,0.988505747126437,0.9272030651341
"Cory Joseph","NBA","G","DETSAC",0.379310344827586,0.666666666666667,0.241379310344828,0.846743295019157,0.540229885057471,0.386973180076628,0.206896551724138
"Ayo Dosunmu","NBA","G","CHI",0.160919540229885,0.613026819923372,0.18007662835249,0.593869731800766,0.662835249042146,0.360153256704981,0.233716475095785
"Shake Milton","NBA","G","PHI",0.183908045977011,0.793103448275862,0.647509578544061,0.670498084291188,0.291187739463602,0.636015325670498,0.295019157088123
"Matisse Thybulle","NBA","G","PHIPOR",0.413793103448276,0.226053639846743,0.00383141762452107,0.233716475095785,1,0.701149425287356,0.0804597701149425
