"#","URL","first","last","Team","Class","Pos","Height","Weight","GP","GS","MPG","Poss%","USG%","PG","SG","SF","PF","C","PER","OBPM","DBPM","BPM","PPG","FD/40","2P%","3P%","3PAr","eFG%","TS%","FT%","FTr","ApG","AST:TO","AST%","TOV%","ORB%","DRB%","TRB%","STL%","BLK%","FC/40","All Players","Guards","Wings","Bigs","Starters","Lefties"
5,"https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5105816.png&w=350&h=254","Tre","Holloman","Michigan State","Fr","G","6-2",180,34,0,8.6,11.8,11,NA,100,NA,NA,NA,6.4,-2.8,2.7,-0.1,1.3,1.9,45.2,23.1,29.5,42,44.1,60,22.7,0.9,3,17.2,18.4,1.3,9.4,5.5,1,1.2,4.5,1,1,0,0,0,0
43,"https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4279457.png&w=350&h=254","Jason","Whitens","Michigan State","Sr","G","6-6",210,19,1,4.2,6.3,5.4,NA,NA,NA,NA,NA,9,-1.6,3.3,1.7,0.4,0.8,100,0,33.3,66.7,66.7,NA,0,0.1,1,4.3,25,6.3,8.7,7.5,2.3,0,1.5,1,NA,NA,NA,0,0
14,"https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4702244.png&w=350&h=254","Davis","Smith","Michigan State",NA,"G",NA,NA,12,0,2,NA,13.5,NA,NA,NA,NA,NA,-5,-9.9,-2.3,-12.2,0.2,NA,33.3,0,40,20,20,NA,0,0,0,0,16.7,5.2,4.7,5,0,0,NA,1,NA,NA,NA,0,0
13,"https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4592692.png&w=350&h=254","Steven","Izzo","Michigan State",NA,"G",NA,NA,8,0,1,NA,33.3,NA,NA,NA,NA,NA,-26,-25.9,-8.5,-34.4,0,NA,0,0,25,0,0,0,50,0,NA,0,0,15.5,14.2,14.9,0,0,NA,1,NA,NA,NA,0,0
20,"https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5105818.png&w=350&h=254","Nick","Sanders","Michigan State",NA,"G",NA,NA,7,0,1,NA,15.4,NA,NA,NA,NA,NA,-13.5,-13.2,-3.8,-17,0,NA,0,0,50,0,0,NA,0,0,NA,0,0,0,0,0,0,0,NA,1,NA,NA,NA,0,0
40,NA,"Keon","Coleman",NA,NA,"C",NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,0
5,"https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4596365.png&w=350&h=254","TJ","Bamba","Washington State","Jr","G","6-5",215,31,31,32.2,26.2,27.5,94.2528735632184,NA,5.74712643678161,NA,NA,17.2,2.9,1.2,4.1,15.8,5,45.9,37.2,37.9,49.6,53.6,73,36.2,1.7,0.85,12.1,11.9,2.9,11.3,7,1.7,0.9,3.6,1,1,0,0,1,0
35,"https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4712863.png&w=350&h=254","Mouhamed","Gueye","Washington State","So","F","6-11",210,33,33,32.1,26.5,26,NA,NA,NA,NA,100,21.5,3.6,1.6,5.1,14.3,4.7,51.3,27.5,10.5,50.3,53.2,67.4,34.6,1.9,0.83,14,14.8,12.2,19.3,15.7,1.6,2.8,3.5,1,0,0,1,0,0
24,"https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4432250.png&w=350&h=254","Justin","Powell","Washington State","Jr","G","6-6",197,34,34,33.8,15.5,16,NA,59.0361445783132,40.9638554216867,NA,NA,14.6,3.5,1.8,5.2,10.4,2.1,37.9,42.6,61.2,53.8,55.6,81.1,12.4,2.8,3.11,17.1,9.2,1.2,13.2,7,1.2,0.5,1.6,1,0,1,0,1,0
11,"https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4432103.png&w=350&h=254","DJ","Rodman","Washington State","Sr","F","6-6",215,31,30,31.5,15.9,15.9,NA,NA,56.0975609756098,43.9024390243902,NA,16.2,3.8,1.4,5.2,9.6,3.1,46.2,38.1,59.6,52.7,57,79.2,34.2,1.4,1.4,8.8,10.9,7.9,14.5,11.1,1.5,1,2.6,1,0,1,0,1,0
3,"https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4701181.png&w=350&h=254","Jabe","Mullins","Washington State","Jr","G","6-6",192,30,8,23.1,17.3,18.2,NA,100,NA,NA,NA,15.5,3.7,1.5,5.2,8.4,2.4,45.5,43,66,58,60.4,87.1,16,1.6,1.6,14.6,12.6,1,10.4,5.5,1.4,0.2,1.9,1,1,0,0,1,0
23,"https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4702466.png&w=350&h=254","Andrej","Jakimovski","Washington State","Jr","F","6-8",215,23,21,26.7,17.2,17.9,NA,NA,NA,73.6842105263158,26.3157894736842,11.7,1.3,1,2.3,7.7,2.4,39.6,34.5,68.6,47.9,49.1,61.5,15.4,1.1,1,8.5,12.5,5.9,15.2,10.4,1.5,1.1,3.3,1,0,0,1,1,0
31,"https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5105659.png&w=350&h=254","Kymany","Houinsou","Washington State","Fr","G","6-6",195,34,9,16.4,19.5,18.3,NA,NA,61.1111111111111,38.8888888888889,NA,9.6,-0.9,1.2,0.3,3.9,3.2,45.5,20.8,19.5,42.7,46.4,65.1,35,1.4,0.93,17,25.8,6.9,11.3,9,1.1,2.5,2.6,1,0,1,0,0,0
13,"https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4702465.png&w=350&h=254","Carlos","Rosario","Washington State","Jr","F","6-7",180,22,0,9.9,15.5,15.1,NA,NA,NA,NA,NA,7.7,-3.5,1.5,-2,2.2,3.3,50,31.3,40,48.8,50,52.6,47.5,0.3,0.5,6.2,21,5.9,12.6,9.1,1.4,2,6.5,1,NA,NA,NA,0,0
22,"https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5105658.png&w=350&h=254","Dylan","Darling","Washington State","Fr","G","6-2",175,25,4,11.9,13.9,13.8,100,NA,NA,NA,NA,3,-6.1,3.3,-2.9,1.7,2.5,33.3,16.7,47.1,29.4,35.8,75,31.4,0.6,0.75,8.5,24.5,2.3,15,8.5,2.5,0.7,5.2,1,1,0,0,0,0
15,"https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5105656.png&w=350&h=254","Adrame","Diongue","Washington State","Fr","C","7-0",190,23,0,6.3,17.7,15.2,NA,NA,NA,NA,100,13.2,-4.3,5,0.7,1.3,4,55.6,0,5.3,52.6,55.4,58.8,89.5,0.2,0.29,5.2,35.7,14.4,20.4,17.3,2.5,8.8,8.8,1,0,0,1,0,0
12,"https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5105654.png&w=350&h=254","Mael","Hamon-Crespin","Washington State","Fr","F","6-9",235,8,0,8,20.1,21.4,NA,NA,NA,NA,NA,11.5,-2.2,3.3,1.2,3,2.3,40,40,75,55,57.3,100,10,0.3,0.5,6.6,19.3,0,9.7,4.7,1.9,6.7,7.6,1,NA,NA,NA,0,0
21,NA,"Jack","Wilson",NA,"Sr","C","6-11",325,14,0,2.9,12.3,10.9,NA,NA,NA,NA,100,-4.3,-12.5,-0.2,-12.7,0.3,1.7,50,NA,0,50,44.7,0,25,0.1,0.33,4.5,47.2,8.5,6,7.3,0,0,12.4,1,0,0,1,0,0
