"date","game_date","location","opponent","wl","team_score","opponent_score","conference_game","Winning_Margin","game_code","net","net_rk","spread","ATS_Margin","Pace","Offensive_Efficency","Defensive_Efficency","Points_Scored","Points_Allowed","Offensive_3PAr","Offensive_3Ppct","Offensive_TOpct","Offensive_OREBpct","Offensive_FTr","Defensive_3PAr","Defensive_3Ppct","Defensive_TOpct","Defensive_OREBpct","Defensive_FTr","Team"
2023-03-10,20230310,"Away","Marquette","L",68,70,"OOC",-2,"Marquette 20230310",12,"NET Top 50",-4,-6,59,115.5,118.9,68,70,42.4,28,15.3,45.7,25.4,56.9,37.9,15.3,27.6,27.4,"UCONN"
2023-03-17,20230317,"Away","Iona","W",87,63,"OOC",24,"Iona 20230317",58,"NET Top 100",-9,15,66,132.6,96,87,63,37.9,44,13.7,38.9,21.2,28.1,43.8,9.1,18.4,28.1,"UCONN"
2023-03-19,20230319,"Away","Saint Mary's","W",70,55,"OOC",15,"Saint Mary's 20230319",11,"NET Top 50",-4,11,64,109.9,86.4,70,55,44,45.5,22,17.4,14,28.6,28.6,14.1,10,38.8,"UCONN"
2023-03-23,20230323,"Away","Arkansas","W",88,65,"OOC",23,"Arkansas 20230323",21,"NET Top 50",-3,20,70,125.9,93,88,65,37,45,24.3,42.3,38.9,25.4,31.2,14.3,33.3,42.9,"UCONN"
2023-03-25,20230325,"Away","Gonzaga","W",82,54,"OOC",28,"Gonzaga 20230325",6,"NET Top 50",-2,26,72,113.8,75,82,54,43.1,35.5,11.1,29.6,19.4,33.3,10,12.5,20.4,36.7,"UCONN"
2023-04-01,20230401,"Away","Miami","W",72,59,"OOC",13,"Miami 20230401",35,"NET Top 50",-5,8,64,112.6,92.3,72,59,45.6,34.6,23.5,41.9,22.8,32.3,35,14.1,33.3,19.4,"UCONN"
2023-04-03,20230403,"Away","San Diego State","W",76,59,"OOC",17,"San Diego State 20230403",14,"NET Top 50",-7,10,69,110.7,85.9,76,59,32.1,35.3,18.9,31.2,50.9,39,26.1,17.5,28.6,33.9,"UCONN"
2022-11-07,20221107,"Home","Longwood","W",75,54,"OOC",21,"Longwood 20221107",166,"Other",-14,7,78,95.9,69.1,75,54,40.6,10.7,24.3,45.8,37.7,18.3,38.5,12.8,21.1,26.8,"Alabama"
2022-11-11,20221111,"Home","Liberty","W",95,59,"OOC",36,"Liberty 20221111",44,"NET Top 50",-9,27,73,130.5,81.1,95,59,42.3,45.5,20.6,41.4,73.1,52.7,27.6,19.2,15.4,36.4,"Alabama"
2022-11-15,20221115,"Away","South Alabama","W",65,55,"OOC",10,"South Alabama 20221115",106,"Other",-10,0,74,88.4,74.8,65,55,51.5,28.6,28.6,50,29.4,32.4,8.7,12.2,28.3,25.4,"Alabama"
